Rose	Theoretical_Mean	Empirical_Mean	buried_100	buried_95
0.61402869153018	0.692758907571411	0.680640036123623	0.826714120459279	0.774670167580069
0.0039761118428383	0.000709882023442798	0.000956443007053887	7.00232006201063e-06	6.0682965097314e-05
0.840974629946379	0.884869384827253	0.881194729261454	0.953151413710575	0.94808474474481
3.41597384889702e-06	2.20700090203252e-07	2.88780487744944e-07	8.70645777695245e-11	2.15347739640492e-10
0.804121712639131	0.85594243900385	0.850903940401465	0.844160259438805	0.887168217615905
3.33716731240052e-05	2.95278210726835e-06	3.88440381904331e-06	5.52259184516402e-06	4.13413770328219e-07
-0.704301118174193	-0.761010946324019	-0.752160763098565	-0.678708166991728	-0.76646948030667
3.33716731240052e-05	2.95278210726835e-06	3.88440381904331e-06	5.52259184516402e-06	4.13413770328219e-07
-0.318450894593215	-0.268336062355236	-0.285036296573988	-0.116133385475877	-0.22680263249379
0.212859266736499	0.297708125603415	0.267464067296893	0.657140204145703	0.381361094705515
0.430451614396299	0.466249306113748	0.472630512058417	0.322803461388011	0.416413259673259
0.0581516927743801	0.0382510699537959	0.0353431242404068	0.165087524276663	0.0678011599935868
0.903957105700541	0.908007850415049	0.909928341212246	0.733578604301146	0.877576884892129
4.63965164065883e-08	3.19628936651384e-08	2.66258481929071e-08	0.000232452879680434	3.73132124087405e-07
