"","names","Theoretical","Empirical"
"1","Ala",129,121
"2","Arg",274,265
"3","Asn",195,187
"4","Asp",193,187
"5","Cys",158,148
"6","Gln",224,214
"7","Glu",223,214
"8","Gly",104,97
"9","His",209,216
"10","Ile",197,195
"11","Leu",202,191
"12","Lys",236,230
"13","Met",218,203
"14","Pro",159,154
"15","Phe",239,228
"16","Ser",151,143
"17","Thr",172,163
"18","Trp",282,262
"19","Tyr",263,255
"20","Val",174,165
